run_date,scan_date,action,slot,ticker,setup,quality,price,shares,sl,tp,be_trigger,pnl_pct,pnl_usd,slot_cash_after,portfolio_value,days_held,note
2026-04-29,2026-04-29,BUY,0,SBUX,Ride Uptrend,62.0,106.46,93.931993,101.02,117.34,111.9,,,0.0,,0,"deployed $10,000.00; RSI 70.7, vol 1.77x, ATR 2.55%"
2026-06-11,2026-06-11,SELL_SL,0,SBUX,Ride Uptrend,62.0,101.02,93.931993,101.02,117.34,111.9,-5.11,-510.99,9489.01,,18,exit on 2026-05-26
2026-06-19,2026-06-19,BUY,0,RTX,Ride Uptrend,62.2,192.58,49.273081,183.28,211.18,201.88,,,0.0,,0,"deployed $9,489.01; RSI 66.2, vol 1.35x, ATR 2.41%"
2026-06-22,2026-06-22,SELL_SL,0,RTX,Ride Uptrend,62.2,183.28,49.273081,183.28,211.18,201.88,-4.83,-458.24,9030.77,,1,exit on 2026-06-22
2026-08-28,2026-08-28,BUY,0,SCHW,VWAP Support,84.8,110.16,81.97867,104.26,116.06,113.11,,,0.0,,0,"deployed $9,030.77; RSI 57.3, vol 1.71x, ATR 2.14%"
